#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Shared prosperity and energy use per capita 2015-2020
#Time span: 2015-2020
#----------------------------------------------------------------
#Variable: The annualized growth rate in the average consumption or income per capita of the poorest 40 percent (the bottom 40) of the population in a country.
#Source: World Bank; "Shared Prosperity: Monitoring Inclusive Growth"
#Source link: https://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity
#Data accessed: 2024-04-15
#----------------------------------------------------------------
#Variable: Energy use per capita (GJ/person)
#Source: Hannah Ritchie; Max Roser and Pablo Rosado (2022) - "Energy". Published online at OurWorldInData.org. Retrieved from: https://ourworldindata.org/energy [Online Resource]
#Source link: https://ourworldindata.org/energy
#Data accessed: 2023-09-15#Description: Data for energy use per capita downloaded from Our World In Data (OWID) chart titled "Energy use per person; 2022." Our World In Data (OWID) reports primary
 energy consumption in terawatthours (TWh). Conversion factor: 1 terawatthour = 0.0036 exajoule. Primary energy is the raw; untransformed energy that is harvested from a 
natural source. In energy accounting; primary energy is the form that is first accounted for in a statistical energy balance; before any transformation to secondary or 
tertiary forms of energy. OWID's principal sources are the Energy Institute Statistical Review of World Energy (2023) and the U.S. Energy Information Administration's 
international datasets (see links below). See the OWID source for their complete methodology for combining sources. Countries are grouped by continent using the World 
Bank's classification system
#Additional links: Energy Institute: 2023 Statistical Review of World Energy: https://www.energyinst.org/statistical-review;EIA: https://www.eia.gov/international/data/worldl;World Bank classification system: https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groupsl;Energy conversion: https://www.onlineconversion.com/energy.htm
#================================================================
﻿Entity,Continent,Year,Energy use per capita (GJ),Annualized growth of energy use per capita (%),Annualized growth in mean consumption or income per capita bottom 40
Sri Lanka,Asia,2015,16.11695052,1.626731899,1.740118742
Sri Lanka,Asia,2016,17.5613112,1.626731899,1.740118742
Sri Lanka,Asia,2017,17.0146224,1.626731899,1.740118742
Sri Lanka,Asia,2018,17.5567176,1.626731899,1.740118742
Sri Lanka,Asia,2019,17.90495496,1.626731899,1.740118742
Sri Lanka,Asia,2020,17.47119744,1.626731899,1.740118742
Sweden,Europe,2015,229.9589424,-1.444428242,1.293767095
Sweden,Europe,2016,223.4920212,-1.444428242,1.293767095
Sweden,Europe,2017,228.303378,-1.444428242,1.293767095
Sweden,Europe,2018,221.3532144,-1.444428242,1.293767095
Sweden,Europe,2019,227.820492,-1.444428242,1.293767095
Sweden,Europe,2020,213.8238828,-1.444428242,1.293767095
Switzerland,Europe,2015,146.0984904,-2.49512282,-0.338918477
Switzerland,Europe,2016,135.918684,-2.49512282,-0.338918477
Switzerland,Europe,2017,134.9610768,-2.49512282,-0.338918477
Switzerland,Europe,2018,136.0586232,-2.49512282,-0.338918477
Switzerland,Europe,2019,140.96322,-2.49512282,-0.338918477
Switzerland,Europe,2020,128.75895,-2.49512282,-0.338918477
Thailand,Asia,2015,70.7823648,-0.372706109,1.517038584
Thailand,Asia,2016,71.9336952,-0.372706109,1.517038584
Thailand,Asia,2017,72.9527544,-0.372706109,1.517038584
Thailand,Asia,2018,75.0027168,-0.372706109,1.517038584
Thailand,Asia,2019,74.852586,-0.372706109,1.517038584
Thailand,Asia,2020,69.4731096,-0.372706109,1.517038584
Turkey,Europe,2015,72.6245856,1.220562847,0.848808825
Turkey,Europe,2016,74.9678148,1.220562847,0.848808825
Turkey,Europe,2017,78.38541,1.220562847,0.848808825
Turkey,Europe,2018,76.84335,1.220562847,0.848808825
Turkey,Europe,2019,79.1030232,1.220562847,0.848808825
Turkey,Europe,2020,77.166252,1.220562847,0.848808825
Uganda,Africa,2015,2.54787588,1.605581692,0.049026713
Uganda,Africa,2016,2.75420772,1.605581692,0.049026713
Uganda,Africa,2017,2.89761966,1.605581692,0.049026713
Uganda,Africa,2018,3.028336092,1.605581692,0.049026713
Uganda,Africa,2019,2.921859216,1.605581692,0.049026713
Uganda,Africa,2020,2.75909148,1.605581692,0.049026713
Ukraine,Europe,2015,80.3037384,-1.278310556,4.129570961
Ukraine,Europe,2016,84.3114528,-1.278310556,4.129570961
Ukraine,Europe,2017,78.625314,-1.278310556,4.129570961
Ukraine,Europe,2018,81.9664524,-1.278310556,4.129570961
Ukraine,Europe,2019,77.9801256,-1.278310556,4.129570961
Ukraine,Europe,2020,75.3006384,-1.278310556,4.129570961
United Arab Emirates,Asia,2015,496.426824,-1.776744489,7.08
United Arab Emirates,Asia,2016,511.614972,-1.776744489,7.08
United Arab Emirates,Asia,2017,488.164572,-1.776744489,7.08
United Arab Emirates,Asia,2018,478.041012,-1.776744489,7.08
United Arab Emirates,Asia,2019,485.562204,-1.776744489,7.08
United Arab Emirates,Asia,2020,453.865176,-1.776744489,7.08
United Kingdom,Europe,2015,125.605152,-3.349546139,0.839686871
United Kingdom,Europe,2016,123.4680624,-3.349546139,0.839686871
United Kingdom,Europe,2017,122.7557232,-3.349546139,0.839686871
United Kingdom,Europe,2018,121.5773856,-3.349546139,0.839686871
United Kingdom,Europe,2019,118.417536,-3.349546139,0.839686871
United Kingdom,Europe,2020,105.931944,-3.349546139,0.839686871
United States,North America,2015,285.542532,-1.582704122,4.270780563
United States,North America,2016,283.008744,-1.582704122,4.270780563
United States,North America,2017,281.840436,-1.582704122,4.270780563
United States,North America,2018,290.100024,-1.582704122,4.270780563
United States,North America,2019,286.1604576,-1.582704122,4.270780563
United States,North America,2020,263.650104,-1.582704122,4.270780563
Uruguay,South America,2015,70.5470472,-2.091073534,0.326731771
Uruguay,South America,2016,71.331336,-2.091073534,0.326731771
Uruguay,South America,2017,68.7032928,-2.091073534,0.326731771
Uruguay,South America,2018,70.339356,-2.091073534,0.326731771
Uruguay,South America,2019,71.946036,-2.091073534,0.326731771
Uruguay,South America,2020,63.473184,-2.091073534,0.326731771
Vietnam,Asia,2015,32.3915364,6.740598598,4.698749065
Vietnam,Asia,2016,34.7731524,6.740598598,4.698749065
Vietnam,Asia,2017,37.0571544,6.740598598,4.698749065
Vietnam,Asia,2018,41.1964308,6.740598598,4.698749065
Vietnam,Asia,2019,45.308052,6.740598598,4.698749065
Vietnam,Asia,2020,44.8827768,6.740598598,4.698749065
